"","Shape_Area","OBJECTID","geology","geolarge","geolocal","curve10plan","curve10prof","curve30plan","curve30prof","elevation","aspect","slope","twi","dist_river","dist_stream","stream_min","x","y","streamcat","radians","northness","eastness","logarea"
"125789",1362.51632891,125790,1,5,7,-0.0458230209350586,-0.000729344263672829,-0.0108058476448059,0.00142055541276932,2428.0693359375,202.711669921875,39.1634292602539,4.76153373718262,158.802429199219,10.2272615432739,0,873305.53323401,8548563.19956965,1,3.53798607235268,-0.922459469534003,-0.386093935548134,3.13434171572887
"125956",6220.57314294,125957,1,6,7,-0.0257784795761108,0.00511893630027771,-0.00616038024425507,0.00239726856350899,2273.71728515625,238.110549926758,40.8534965515137,5.11406373977661,212.533569335938,9.47949314117432,0,873030.47304189,8548567.49356749,1,4.15581307995627,-0.528282003795124,-0.84906897509343,3.79383040098484
"125976",2318.77491414,125977,1,6,7,-0.0303354620933533,0.00837438881397247,-0.00212661385536194,0.000349015481770039,2375.66137695312,228.747314453125,40.8711395263672,4.80175113677979,237.89973449707,9.85964775085449,0,873167.39803341,8548594.02477776,1,3.99239379230184,-0.659381054336955,-0.751808902036605,3.36525859327304
"126009",184.15224989,126010,1,7,6,-0.0409004926681519,0.0169002687931061,0.00922808229923248,0.00841280817985535,1922.00830078125,344.533569335938,45.0822219848633,4.79622936248779,56.3716163635254,11.399317741394,1.96202957630157,872185.32088273,8548630.74091343,0,6.01324516856029,0.963786861551177,-0.266673743554426,2.26517702923949
"126013",221.147912676,126014,5,7,6,-0.0136592602729797,-0.00830137729644775,-0.00974872529506683,-0.000442365631461143,2455.42456054688,114.366050720215,44.8034439086914,6.6315712928772,85.727783203125,4.53557014465332,0,870662.62311467,8548630.62311122,1,1.99606413757058,-0.4125647529439,0.910928276335925,2.34468284459835
"126060",170.170747447,126061,6,6,7,-0.0155391585826874,0.00058665543794632,0.0122323167324066,0.000553470142185688,2776.20947265625,256.653594970703,42.3809432983398,4.69718742370605,92.5576858520508,10.0079755783081,0,868896.81948982,8548632.58161449,1,4.47945026931873,-0.230837859217509,-0.972992231598936,2.23088490642881
"126066",249.120866918,126067,6,9,6,-0.0168230175971985,0.0100683856010437,-0.00794285178184509,0.00528725862503052,2927.9638671875,23.0570602416992,27.6896171569824,9.8522424697876,4.26790904998779,8.2252836227417,0,867988.03326069,8548636.03448546,1,0.402421617048331,0.920115272172865,0.391647655315661,2.39641010653204
"126067",209.137873259,126068,2,6,6,-0.00568148255348206,0.00776317477226257,-0.00376585453748703,-0.000348051935434341,2735.69482421875,332.936798095703,35.2692260742188,5.23317384719849,284.898956298828,6.19223880767822,0,869736.89960202,8548638.12353819,1,5.8108433278176,0.890505193765462,-0.454973075991026,2.32043268732742
"126100",691.263221825,126101,6,7,6,-0.00050662774592638,-0.00117659866809845,0.00466115742921829,-0.000549667775630951,2979.34130859375,28.3718090057373,41.1361808776855,4.91369390487671,65.9603881835938,7.13424587249756,0,867887.77436008,8548639.14328884,1,0.495181481897095,0.879882485700241,0.475191341838174,2.83964345116371
"126216",1113.33451024,126217,6,6,6,-0.00915037333965302,0.000938057377934456,0.00209060430526733,-0.000184405092149973,2791.09301757812,314.473114013672,40.3772659301758,5.16413927078247,152.680358886719,7.71133661270142,0,869038.68457406,8548641.04113489,1,5.4885912485381,0.700574495095261,-0.713579271575359,3.04662567118514
"126220",144134.652164,126221,2,6,6,-0.00129430577158928,0.000897856503725052,-0.000736468210816383,0.000927718505263329,3049.017578125,126.257934570312,42.0753707885742,4.53621530532837,192.439239501953,15.4174337387085,0,868150.51820398,8548440.66998236,1,2.20361666501952,-0.591421322671525,0.806362709386702,5.15876840437008
"126227",224.162358337,126228,6,9,6,-0.000641560032963753,0.0148783671855927,-0.00426958471536636,0.00963759958744049,2832.58837890625,83.9228057861328,25.7511768341064,5.93279838562012,3.533935546875,7.5697455406189,0,868414.78558358,8548659.71254,1,1.46472927847977,0.105868280574698,0.99438016229617,2.35056268703234
"126276",242.172996877,126277,6,6,6,-0.0204644370079041,0.00499219745397568,0.00163168162107468,-5.54321892559528e-05,2771.0859375,338.408538818359,41.2533645629883,4.4289345741272,107.65421295166,13.9686841964722,0,869000.12663259,8548657.09543628,1,5.9063432192434,0.929831337346998,-0.367985983547598,2.38412571617654
"126304",531.2593366,126305,5,7,7,-0.0431180477142334,0.0269226145744324,-0.0225982570648193,0.00185789316892624,2436.30126953125,201.255004882812,42.1773338317871,6.5035228729248,171.127655029297,7.5041766166687,0,870875.54270228,8548653.2111344,1,3.51256247132233,-0.931976206154184,-0.362519449357485,2.72530657561974
"126307",993.533922993,126308,6,7,6,-0.0173228204250336,0.0153052151203156,0.000483635179698467,0.00819826900959015,2953.45141601562,34.9818916320801,40.5676231384277,5.66519498825073,34.0058250427246,3.47756671905518,0,867938.5001163,8548634.08901726,1,0.610549187555651,0.819333282575395,0.57331751417886,2.99718270014956
"126347",157.150191699,126348,5,3,5,0.0260384440422058,-0.0531189107894897,0.0158942902088165,-0.0245530247688293,2478.38989257812,217.093200683594,36.6769752502441,3.25361466407776,223.212097167969,36.3248100280762,24.5693092346191,870907.02522928,8548671.51326563,0,3.78899113562152,-0.797655506177279,-0.60311333384785,2.19631491512622
"126348",1371.71171182,126349,1,3,5,0.0332000613212585,-0.0373955106735229,0.0217419838905334,-0.0207113599777222,2781.06323242188,260.694702148438,34.2232894897461,2.99431753158569,321.488983154297,52.0626106262207,16.5943202972412,873875.7147702,8548657.44989696,0,4.54998089499618,-0.161695069979867,-0.986840769498406,3.13726284670492
"126353",151.131029866,126354,1,6,7,-0.0261905431747437,-0.00169687777757645,-0.00618603944778442,-0.000262544322758913,1996.52600097656,134.655700683594,44.0401496887207,4.99627876281738,132.787246704102,2.73430752754211,0,872039.51932078,8548671.45146339,1,2.35018533350869,-0.702844924557041,0.711343104292441,2.17935364181118
"126428",193.103562398,126429,2,7,6,-0.0312122011184692,0.0109819221496582,-0.00293432831764221,0.0052261745929718,2690.56909179688,47.866325378418,41.4349899291992,5.53693914413452,213.642974853516,2.61545586585999,0,869478.79306468,8548686.11621769,1,0.835424978684315,0.670862586843431,0.74158168098581,2.28579028577071
